time(s),ch0(V),ch1(V),ch2(V),ch3(V)
4.9875,-0.4013,2.4988,2.4988,2.4991
5.0,-0.3751,2.4991,2.4988,2.4991
5.0125,-0.347,2.4991,2.4988,2.4991
5.025,-0.3165,2.4991,2.4988,2.4991
5.0375,-0.2841,2.4991,2.4988,2.4991
5.05,-0.2499,2.4991,2.4988,2.4991
5.0625,-0.2139,2.4991,2.4988,2.4991
5.075,-0.1773,2.4991,2.4988,2.4991
5.0875,-0.1395,2.4991,2.4988,2.4991
5.1,-0.1001,2.4991,2.4988,2.4991
5.1125,-0.0607,2.4991,2.4988,2.4991
5.125,-0.0211,2.4991,2.4988,2.4991
5.1375,0.0177,2.4991,2.4988,2.4991
5.15,0.0577,2.4991,2.4988,2.4991
5.1625,0.0977,2.4991,2.4988,2.4991
5.175,0.1361,2.4991,2.4988,2.4991
5.1875,0.174,2.4991,2.4985,2.4991
5.2,0.2109,2.4991,2.4988,2.4991
5.2125,0.2466,2.4991,2.4988,2.4991
5.225,0.2802,2.4991,2.4988,2.4991
5.2375,0.3128,2.4991,2.4988,2.4991
5.25,0.3433,2.4991,2.4988,2.4991
5.2625,0.3711,2.4991,2.4988,2.4991
5.275,0.397,2.4991,2.4988,2.4991
5.2875,0.4205,2.4991,2.4988,2.4991
5.3,0.4416,2.4991,2.4988,2.4991
5.3125,0.4593,2.4991,2.4988,2.4991
5.325,0.4745,2.4991,2.4988,2.4991
5.3375,0.4871,2.4991,2.4988,2.4991
5.35,0.4962,2.4991,2.4988,2.4991
5.3625,0.5023,2.4991,2.4988,2.4991
5.375,0.5048,2.4991,2.4988,2.4991
5.3875,0.5051,2.4991,2.4988,2.4991
5.4,0.5023,2.4991,2.4988,2.4991
5.4125,0.4953,2.4991,2.4988,2.4991
5.425,0.4858,2.4991,2.4988,2.4991
5.4375,0.473,2.4991,2.4988,2.4991
5.45,0.4584,2.4991,2.4988,2.4991
5.4625,0.4401,2.4991,2.4988,2.4991
5.475,0.4187,2.4991,2.4988,2.4991
5.4875,0.3946,2.4991,2.4988,2.4991
5.5,0.3687,2.4991,2.4988,2.4991
5.5125,0.3403,2.4991,2.4988,2.4991
5.525,0.3098,2.4991,2.4988,2.4991
5.5375,0.2771,2.4991,2.4988,2.4991
5.55,0.2432,2.4991,2.4988,2.4991
5.5625,0.2078,2.4991,2.4988,2.4991
5.575,0.1703,2.4991,2.4988,2.4991
5.5875,0.1328,2.4991,2.4988,2.4991
5.6,0.094,2.4991,2.4988,2.4991
5.6125,0.054,2.4991,2.4988,2.4991
5.625,0.014,2.4991,2.4988,2.4991
5.6375,-0.0244,2.4991,2.4988,2.4991
5.65,-0.0641,2.4991,2.4988,2.4991
5.6625,-0.1035,2.4991,2.4988,2.4991
5.675,-0.1428,2.4991,2.4988,2.4991
5.6875,-0.1807,2.4991,2.4988,2.4991
5.7,-0.2173,2.4991,2.4988,2.4991
5.7125,-0.2527,2.4991,2.4988,2.4991
5.725,-0.2872,2.4991,2.4988,2.4991
5.7375,-0.3192,2.4991,2.4988,2.4991
5.75,-0.3488,2.4991,2.4988,2.4991
5.7625,-0.3781,2.4991,2.4988,2.4991
5.775,-0.4037,2.4991,2.4988,2.4991
5.7875,-0.4272,2.4991,2.4988,2.4991
5.8,-0.4471,2.4991,2.4988,2.4991
5.8125,-0.4654,2.4991,2.4988,2.4991
5.825,-0.481,2.4991,2.4988,2.4991
5.8375,-0.4929,2.4991,2.4988,2.4991
5.85,-0.5014,2.4991,2.4988,2.4991
5.8625,-0.5075,2.4991,2.4988,2.4991
5.875,-0.5109,2.4991,2.4988,2.4991
5.8875,-0.5109,2.4991,2.4988,2.4991
5.9,-0.5075,2.4991,2.4988,2.4991
5.9125,-0.5005,2.4991,2.4988,2.4991
5.925,-0.491,2.4991,2.4988,2.4991
5.9375,-0.4788,2.4991,2.4988,2.4991
5.95,-0.4623,2.4991,2.4988,2.4991
5.9625,-0.4446,2.4991,2.4988,2.4991
5.975,-0.4242,2.4991,2.4988,2.4991
5.9875,-0.3998,2.4991,2.4988,2.4991
6.0,-0.3732,2.4991,2.4988,2.4991
6.0125,-0.3452,2.4991,2.4988,2.4991
6.025,-0.3146,2.4991,2.4988,2.4991
6.0375,-0.2823,2.4991,2.4988,2.4991
6.05,-0.2478,2.4991,2.4985,2.4991
6.0625,-0.2121,2.4991,2.4988,2.4991
6.075,-0.1755,2.4991,2.4988,2.4991
6.0875,-0.137,2.4991,2.4988,2.4991
6.1,-0.0974,2.4991,2.4988,2.4991
6.1125,-0.0589,2.4991,2.4988,2.4991
6.125,-0.0195,2.4991,2.4988,2.4991
6.1375,0.0201,2.4991,2.4988,2.4991
6.15,0.0607,2.4991,2.4988,2.4991
6.1625,0.0995,2.4991,2.4988,2.4991
6.175,0.1376,2.4991,2.4988,2.4991
6.1875,0.1761,2.4991,2.4988,2.4991
6.2,0.2133,2.4991,2.4988,2.4991
6.2125,0.2484,2.4991,2.4988,2.4991
6.225,0.282,2.4991,2.4988,2.4991
6.2375,0.3143,2.4991,2.4988,2.4991
