time(s),ch0(V),ch1(V),ch2(V),ch3(V)
0.1786,2.19268799,,,
0.1788,2.19299316,,,
0.179,2.19299316,,,
0.1792,2.19299316,,,
0.1794,2.19268799,,,
0.1796,2.19299316,,,
0.1798,2.19299316,,,
0.18,2.19268799,,,
0.1802,2.19299316,,,
0.1804,2.19268799,,,
0.1806,2.19299316,,,
0.1808,2.19299316,,,
0.181,2.19268799,,,
0.1812,2.19268799,,,
0.1814,2.19299316,,,
0.1816,2.19299316,,,
0.1818,2.19268799,,,
0.182,2.19268799,,,
0.1822,2.19299316,,,
0.1824,2.19299316,,,
0.1826,2.19299316,,,
0.1828,2.19299316,,,
0.183,2.19268799,,,
0.1832,2.19268799,,,
0.1834,2.19299316,,,
0.1836,2.19299316,,,
0.1838,2.19299316,,,
0.184,2.19268799,,,
0.1842,2.19299316,,,
0.1844,2.19299316,,,
0.1846,2.19299316,,,
0.1848,2.19299316,,,
0.185,2.19299316,,,
0.1852,2.19268799,,,
0.1854,2.19299316,,,
0.1856,2.19268799,,,
0.1858,2.19268799,,,
0.186,2.19299316,,,
0.1862,2.19299316,,,
0.1864,2.19299316,,,
0.1866,2.19299316,,,
0.1868,2.19268799,,,
0.187,2.19299316,,,
0.1872,2.19299316,,,
0.1874,2.19299316,,,
0.1876,2.19299316,,,
0.1878,2.19299316,,,
0.188,2.19299316,,,
0.1882,2.19299316,,,
0.1884,2.19299316,,,
0.1886,2.19299316,,,
0.1888,2.19268799,,,
0.189,2.19299316,,,
0.1892,2.19268799,,,
0.1894,2.19299316,,,
0.1896,2.19299316,,,
0.1898,2.19299316,,,
0.19,2.19299316,,,
0.1902,2.19299316,,,
0.1904,2.19299316,,,
0.1906,2.19299316,,,
0.1908,2.19299316,,,
0.191,2.19299316,,,
0.1912,2.19299316,,,
0.1914,2.19268799,,,
0.1916,2.19268799,,,
0.1918,2.19299316,,,
0.192,2.19299316,,,
0.1922,2.19299316,,,
0.1924,2.19299316,,,
0.1926,2.19299316,,,
0.1928,2.19299316,,,
0.193,2.19299316,,,
0.1932,2.19268799,,,
0.1934,2.19299316,,,
0.1936,2.19299316,,,
0.1938,2.19268799,,,
0.194,2.19299316,,,
0.1942,2.19268799,,,
0.1944,2.19268799,,,
0.1946,2.19299316,,,
0.1948,2.19299316,,,
0.195,2.19299316,,,
0.1952,2.19299316,,,
0.1954,2.19268799,,,
0.1956,2.19268799,,,
0.1958,2.19299316,,,
0.196,2.19299316,,,
0.1962,2.19299316,,,
0.1964,2.19299316,,,
0.1966,2.19268799,,,
0.1968,2.19268799,,,
0.197,2.19268799,,,
0.1972,2.19299316,,,
0.1974,2.19268799,,,
0.1976,2.19299316,,,
0.1978,2.19299316,,,
0.198,2.19268799,,,
0.1982,2.19268799,,,
0.1984,2.19299316,,,
0.1986,2.19299316,,,
0.1988,2.19299316,,,
0.199,2.19299316,,,
0.1992,2.19299316,,,
0.1994,2.19299316,,,
0.1996,2.19268799,,,
0.1998,2.19299316,,,
0.2,2.19299316,,,
0.2002,2.19299316,,,
0.2004,2.19299316,,,
